area_type,availability,location,size,society,total_sqft,bath,balcony,price
Plot  Area,Ready To Move,Bhuapur,5 Bedroom,,2400,5,3,66.66666667
Super built-up  Area,Ready To Move,Hakimpur,2 BHK,,1143,2,2,43.33333333
Super built-up  Area,Ready To Move,Agailjhara,2 BHK,JRrnauv,1470,2,2,41.16
Plot  Area,Ready To Move,Laxminarayana Layout,4 Bedroom,,1584,3,2,96.66666667
Super built-up  Area,Ready To Move,Amtali,3 BHK,Vaoodar,1785,3,2,62.66666667
Super built-up  Area,Ready To Move,Bamna,3 BHK,,2292,3,2,190.6666667
Super built-up  Area,Ready To Move,Banshkhali,3 BHK,,1460,3,3,47.33333333
Super built-up  Area,Ready To Move,Haluaghat,3 BHK,,1500,2,3,53.33333333
Plot  Area,Ready To Move,Laxmichhari,5 Bedroom,,1200,4,1,93.33333333
Built-up  Area,Ready To Move,Gaibandha Sadar,5 BHK,,3300,3,,166.6666667
Super built-up  Area,Ready To Move,Cumilla Sadar(South),2 BHK,,1230,2,2,32
Super built-up  Area,Ready To Move,Brahmanpara,1 BHK,KHatsFl,650,1,1,13.33333333
Super built-up  Area,Ready To Move,Pekua,2 BHK,,1480,2,,80
Super built-up  Area,Ready To Move,Ajmiriganj,2 BHK,MenueNo,1220,2,1,29.28
Super built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,Puceswn,1570,3,1,76.66666667
Built-up  Area,Ready To Move,Sadashiva Nagar,3 BHK,,3000,3,3,266.6666667
Super built-up  Area,Ready To Move,Harinakunda,3 BHK,Puestig,1665,3,2,57.94
Plot  Area,Ready To Move,Banagiri Nagar,3 Bedroom,,1350,3,1,253.3333333
Plot  Area,Ready To Move,Adarsha Sadar,4 Bedroom,Adeatlm,4000,5,2,400
Plot  Area,Ready To Move,Baliakandi,2 Bedroom,,1100,2,0,45.33333333
Super built-up  Area,Ready To Move,Feni Sadar,3 BHK,Prone M,1350,2,1,58.00666667
Built-up  Area,Ready To Move,Bahubal,3 BHK,Salisal,1719,3,2,77.33333333
Super built-up  Area,Ready To Move,Beanibazar,1 BHK,PrityTr,664,1,1,23.33333333
Super built-up  Area,18-Dec,Fulbari,2 BHK,Skacak ,1011,2,1,33.68666667
Built-up  Area,Ready To Move,Akshya Nagar,6 Bedroom,,2400,6,0,86.66666667
Super built-up  Area,Ready To Move,Basaveshwara Nagar Yelahanka,3 BHK,,1680,3,2,56.66666667
Super built-up  Area,Ready To Move,Bagha,2 BHK,VSlistr,704 - 730,2,0,32.98333333
Plot  Area,Ready To Move,Kotalipara,4 Bedroom,,700,4,2,73.33333333
Super built-up  Area,Ready To Move,Abhaynagar,3 BHK,Skstark,1520,2,2,100
Carpet  Area,Ready To Move,Alfadanga,3 BHK,Vancya ,1350,2,2,35.33333333
Super built-up  Area,15-Nov,Banshkhali,3 BHK,Somumys,1760,3,,100
Super built-up  Area,Ready To Move,Kulaura,2 BHK,Shvarji,875,2,1,22
Super built-up  Area,Ready To Move,Bawphal,2 BHK,Adity T,1231,2,2,32
Super built-up  Area,Ready To Move,Daulatpur,2 BHK,Abeesmi,1174,2,3,49.33333333
Built-up  Area,Ready To Move,Satkania,3 BHK,DaniaNe,1560,3,3,50
Super built-up  Area,Ready To Move,Hosur Main Road,2 BHK,,1464,2,2,37.33333333
Plot  Area,Ready To Move,Agailjhara,3 Bedroom,,2200,3,2,86.66666667
Built-up  Area,Ready To Move,Kamalnagar,2 BHK,,850,2,2,36.66666667
Built-up  Area,Ready To Move,Sahyadri Layout,3 BHK,Adthm R,1750,3,1,120
Super built-up  Area,Ready To Move,Doarabazar,3 BHK,NCaveun,2024,3,,104.6666667
Plot  Area,Ready To Move,Mathikere Sbm Colony,2 Bedroom,,1500,1,0,106.6666667
Plot  Area,Ready To Move,"White Field,Kadugodi",6 Bedroom,,2100,6,,183.3333333
Super built-up  Area,Ready To Move,Jaldhaka,3 BHK,Soianal,2408,4,2,173.3333333
Super built-up  Area,Ready To Move,Bhuapur,2 BHK,Brrds O,1080,2,1,29.33333333
Super built-up  Area,Ready To Move,Bijoynagar,3 BHK,,2070,3,2,150
Built-up  Area,18-Dec,Aditmari,2 BHK,,1020,2,1,19.64
Super built-up  Area,Ready To Move,Baghaichari,3 BHK,Dhalsh ,1500,2,3,36.66666667
Plot  Area,Ready To Move,Kalaroa,4 Bedroom,,1575,5,1,105.3333333
Plot  Area,Ready To Move,Dewanganj,4 Bedroom,,3250,4,1,120
Super built-up  Area,Ready To Move,Alfadanga,2 BHK,,1175,2,1,31.33333333
Super built-up  Area,Ready To Move,Chapainawabganj Sadar,2 BHK,Unm 2El,1030,2,1,23
Super built-up  Area,18-Jul,Alikadam,2 BHK,Mahosya,1440,2,1,76.66666667
Built-up  Area,Ready To Move,Bagerhat Sadar,2 BHK,SMaxyay,1500,2,1,56
Plot  Area,Ready To Move,Ajmiriganj,1 Bedroom,,1380,1,1,41.4
Built-up  Area,Ready To Move,Bagalur,2 BHK,Haows M,1200,2,3,33.33333333
Built-up  Area,Ready To Move,Vinayak Nagar,1 BHK,,705,1,2,24.33333333
Super built-up  Area,Ready To Move,Bajitpur,3 BHK,Prncyrn,2240,5,2,103.3333333
Super built-up  Area,Ready To Move,Bhandaria,3 BHK,Sonosty,1584.01,3,1,68.66666667
Super built-up  Area,Ready To Move,P Krishnappa Layout,3 BHK,Apitea ,1340,3,3,51.33333333
Super built-up  Area,Ready To Move,Green Garden Layout,3 BHK,Mas 2 H,1800,3,2,46.66666667
Super built-up  Area,Ready To Move,Chilmari,2 BHK,,1200,2,3,30
Super built-up  Area,18-Nov,Adarsha Sadar,1 BHK,AsastDe,685,1,1,26.66666667
Super built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin ,925,2,3,28
Super built-up  Area,Ready To Move,Crimson Layout,2 BHK,ARntyne,1230,2,2,38
Plot  Area,Ready To Move,Manjunath Nagar,5 Bedroom,,1200,5,1,123.3333333
Super built-up  Area,Ready To Move,Dewanganj,2 BHK,Aaubyya,1125,2,1,34.66666667
Super built-up  Area,Ready To Move,Alikadam,2 BHK,,1100,2,1,36
Plot  Area,18-Aug,Begumganj,3 Bedroom,Prllasw,2400,3,2,99.33333333
Super built-up  Area,18-Jul,Atrai,3 BHK,Sryalan,1400,2,2,27.72
Plot  Area,Ready To Move,Alfadanga,7 Bedroom,,1200,7,2,150
Super built-up  Area,Ready To Move,Bandarban Sadar,3 BHK,Ceezey ,1858,3,1,65.53333333
Plot  Area,Ready To Move,Adityanagar,1 Bedroom,,1260,1,1,27.33333333
Built-up  Area,Ready To Move,Ukhia,4 BHK,SoechHa,3530,4,2,193.3333333
Super built-up  Area,Ready To Move,Belabo,2 BHK,,1185,2,2,40
Plot  Area,Ready To Move,Rmv 2Nd Stage,2 Bedroom,,1200,2,1,144
Super built-up  Area,Ready To Move,Bawphal,2 BHK,,1255,2,1,38.66666667
Super built-up  Area,Ready To Move,Atwari,4 BHK,,3436,6,3,316.6666667
Built-up  Area,Ready To Move,Chandpur Sadar,3 BHK,Brlms P,1335,3,2,59.33333333
Super built-up  Area,Ready To Move,Daulatkhan,3 BHK,,1999,3,2,88
Plot  Area,Ready To Move,Kanaka Nagar,2 Bedroom,,1200,2,1,83.33333333
Super built-up  Area,Ready To Move,Bheramara,3 BHK,Dieldli,1397,3,2,73.33333333
Plot  Area,Ready To Move,Begumganj,10 Bedroom,Mae 2ra,1200,10,,70
Super built-up  Area,Ready To Move,Itna,4 BHK,,3950,4,,300
Plot  Area,Ready To Move,Brahmanpara,2 Bedroom,KHatsFl,1200,2,1,86.66666667
Plot  Area,Ready To Move,Gournadi,3 Bedroom,,1616,3,0,63.33333333
Plot  Area,Ready To Move,Dhamrai,8 Bedroom,,1200,7,2,233.3333333
Built-up  Area,Ready To Move,Hanumantha Nagar,4 Bedroom,,1270,2,1,116.6666667
Super built-up  Area,Ready To Move,Anwara,2 BHK,GrrvaGr,1140,2,2,25.7
Super built-up  Area,21-Jan,Agailjhara,1 BHK,PrarePa,525,1,1,20
Plot  Area,Ready To Move,Baniachong,3 Bedroom,,1200,2,1,65.33333333
Built-up  Area,Ready To Move,Bagalakunte,1 Bedroom,,700,1,1,108
Super built-up  Area,18-Jul,Bhurungamari,2 BHK,Soresea,1205.47,2,1,54
Plot  Area,Ready To Move,T Dasarahalli,3 Bedroom,,1200,3,2,86.66666667
Super built-up  Area,Ready To Move,Aditmari,3 BHK,Naireru,1700,3,2,50
Plot  Area,Ready To Move,Ajmiriganj,5 Bedroom,,750,4,0,41.33333333
Super built-up  Area,21-May,Agailjhara,2 BHK,GolusLi,1090,2,1,36.36
Super built-up  Area,Ready To Move,Bagha,4 BHK,IBityin,3600,5,,146.6666667
Built-up  Area,Ready To Move,Bheramara,1 BHK,,2400,1,0,433.3333333
Super built-up  Area,19-Mar,Ajmiriganj,1 BHK,Bhe 2ko,923,1,1,40.56
Super built-up  Area,18-May,Muthurayya Swamy Layout,4 BHK,MacleK ,3595,6,2,240
Super built-up  Area,Ready To Move,Chakaria,2 BHK,GaentAp,1050,2,2,32
Super built-up  Area,Ready To Move,Abhaynagar,2 BHK,UKe 2nz,1495,2,2,53
Super built-up  Area,19-Mar,Ashasuni,3 BHK,Puachal,1482 - 1846,,,62.57666667
Built-up  Area,Ready To Move,Khoksa,3 BHK,,1485,3,2,56.66666667
Super built-up  Area,19-Dec,Kamalganj,3 BHK,,1033,2,2,21
Super built-up  Area,Ready To Move,Aditmari,3 BHK,DSgmax ,1400,2,1,32
Built-up  Area,Ready To Move,Bijoynagar,1 Bedroom,,500,1,0,46.66666667
Super built-up  Area,Ready To Move,Adarsha Sadar,2 BHK,Ascid P,944,2,1,23.33333333
Built-up  Area,Ready To Move,Abhaynagar,5 Bedroom,,3250,5,0,193.3333333
Super built-up  Area,19-Mar,Abhaynagar,2 BHK,Prtates,1216,2,1,44.32
Super built-up  Area,Ready To Move,Thirumenahalli,2 BHK,,1100,2,1,26.33333333
Super built-up  Area,Ready To Move,Ajmiriganj,3 BHK,Moity S,1743,3,2,62.16666667
Super built-up  Area,Ready To Move,Laxmichhari,2 BHK,Pyikad ,1274,2,2,32.28
Super built-up  Area,Ready To Move,Lavelle Road,3 BHK,,2500,3,2,283.3333333
Super built-up  Area,Ready To Move,Bhairab,3 BHK,SaodySa,1512,2,2,73.33333333
Super built-up  Area,Ready To Move,Dollars Colony,4 BHK,,3100,5,1,256.6666667
Super built-up  Area,Ready To Move,Khagrachari Sadar,3 BHK,,1650,3,3,66.66666667
Built-up  Area,Ready To Move,Dacope,3 BHK,SryleHo,1875,3,1,36.66666667
Built-up  Area,Ready To Move,Abhaynagar,3 BHK,,1350,3,2,36
Super built-up  Area,Ready To Move,Rajiv Gandhi Nagar,2 BHK,,1219,2,2,26.66666667
Plot  Area,Ready To Move,Goraguntepalya,4 Bedroom,,1200,4,1,100
Plot  Area,Ready To Move,Haimchar,3 Bedroom,,2400,3,3,56.66666667
Super built-up  Area,Ready To Move,Bakshiganj,2 BHK,,1141,2,1,29.6
Super built-up  Area,Ready To Move,Delduar,2 BHK,ViensRK,1151,2,1,28.73333333
Plot  Area,Ready To Move,Kapasia,3 Bedroom,Prana S,832,3,1,51.33333333
Super built-up  Area,Ready To Move,Adarsha Sadar,2 BHK,Shthi S,915,2,1,25.33333333
Plot  Area,Ready To Move,Rajankunte,3 Bedroom,,3259,3,0,180
Super built-up  Area,22-Dec,Araihazar,2 BHK,PrarePa,1115,2,1,43.41333333
Super built-up  Area,Ready To Move,Barhatta,3 BHK,Prtanha,2072,4,2,92.66666667
Super built-up  Area,Ready To Move,Baraigram,2 BHK,MCngeha,1200,2,2,35.33333333
Super built-up  Area,Ready To Move,Derai,2 BHK,Phhidx ,1300,2,2,43.33333333
Super built-up  Area,Ready To Move,Babuganj,2 BHK,Amivace,1457,2,2,56.66666667
Super built-up  Area,Ready To Move,Gobindaganj,2 BHK,Marnaer,1262,2,2,36.66666667
Plot  Area,Ready To Move,Kahaloo,4 Bedroom,,1196,3,1,100
Super built-up  Area,18-Aug,Daganbhuiyan,2 BHK,,900,2,2,15
Built-up  Area,Ready To Move,Bogura Sadar,1 BHK,Jae 1hu,420,1,1,11.33333333
Super built-up  Area,Ready To Move,Borhanuddin,2 BHK,,1160,2,1,30.92666667
Super built-up  Area,Ready To Move,Bahubal,2 BHK,,1115,2,2,33.33333333
Built-up  Area,Ready To Move,Bancharampur,3 BHK,,1315,2,1,56.93333333
Built-up  Area,Ready To Move,Dighinala,2 BHK,,1500,2,2,38
Super built-up  Area,Ready To Move,Belabo,2 BHK,SruntFa,1127,2,1,45.33333333
Super built-up  Area,18-Feb,Bheramara,3 BHK,Dieldli,1397,3,2,69.33333333
Built-up  Area,20-Dec,Abhaynagar,2 BHK,,1173,2,1,40
Super built-up  Area,Ready To Move,Kawkhali,2 BHK,,1090,2,2,18.66666667
Super built-up  Area,Ready To Move,Adarsha Sadar,3 BHK,Maana E,2720,5,,140
Super built-up  Area,18-May,Bandarban Sadar,2 BHK,BrdgeNo,1230,2,1,50.66666667
Super built-up  Area,Ready To Move,6Th Block Rajaji Nagar,4 BHK,,3200,3,3,126.6666667
Super built-up  Area,19-Dec,Adarsha Sadar,2 BHK,Daivon ,858,2,1,21.04666667
Super built-up  Area,21-Mar,Burichang,3 BHK,Sodgere,1868,3,1,80.66666667
Super built-up  Area,Ready To Move,Alfadanga,3 BHK,Baveles,1689.28,3,2,60.8
Built-up  Area,Ready To Move,Keraniganj,4 BHK,,600,3,2,48.66666667
Super built-up  Area,Ready To Move,Bakerganj,3 BHK,,1425,3,3,33.25333333
Plot  Area,Ready To Move,Birampur,6 Bedroom,,1200,6,2,113.3333333
Plot  Area,Ready To Move,Kumarkhali,2 Bedroom,,1350,2,1,66.66666667
Built-up  Area,Ready To Move,Chapainawabganj Sadar,6 Bedroom,,4200,6,0,120
Super built-up  Area,Ready To Move,Alfadanga,3 BHK,Ihnueut,1310,2,1,56.66666667
Super built-up  Area,18-Jun,Atpara,4 BHK,SNnia E,2805 - 3565,,,116.6666667
Super built-up  Area,Ready To Move,Mla Layout,2 BHK,,970,2,1,26.66666667
Super built-up  Area,18-May,Bheramara,3 BHK,Dieldli,1397,3,3,72
Super built-up  Area,18-Jul,Bagher Para,2 BHK,Vehes L,1157,2,1,26.66666667
Super built-up  Area,Ready To Move,Bahubal,2 BHK,,1125,2,1,40.8
Super built-up  Area,Ready To Move,Fulbari,2 BHK,DSgam S,1157,2,1,28
Super built-up  Area,Ready To Move,Adarsha Sadar,2 BHK,BModsen,1241,2,1,54.66666667
Super built-up  Area,19-Dec,Gabtali,1 BHK,She 2rk,660,1,1,41.33333333
Built-up  Area,Ready To Move,Amtali,4 BHK,PueraRi,4000,4,3,146.6666667
Super built-up  Area,Ready To Move,Nikli,4 BHK,PuoodSk,2340,4,1,98.66666667
Built-up  Area,Ready To Move,Venkatadri Layout,1 BHK,Raiyai ,596,1,1,28
Super built-up  Area,Ready To Move,Koramangala Industrial Layout,16 BHK,,10000,16,,366.6666667
Plot  Area,Ready To Move,Kyalasanahalli,4 Bedroom,UpowsMe,1200,4,3,73.33333333
Super built-up  Area,Ready To Move,Ambedkar Colony,3 BHK,RMcesa ,1910,3,1,126.6666667
Super built-up  Area,Ready To Move,Bheramara,2 BHK,CidgeKn,1139,2,2,53.33333333
Super built-up  Area,Ready To Move,Barhatta,4 BHK,Prtanha,3122,5,2,150
Super built-up  Area,19-Aug,Haimchar,2 BHK,,1033,2,2,18.94
Super built-up  Area,Ready To Move,Bagha,2 BHK,IBityin,1168,2,2,42.72
Super built-up  Area,Ready To Move,Austagram,2 BHK,,877,2,3,28
Built-up  Area,18-Jul,Bagatipara,2 BHK,Shitt S,1340,2,2,50
Built-up  Area,Ready To Move,B Narayanapura,3 BHK,ShentAp,1405,2,2,46.66666667
Super built-up  Area,Ready To Move,Siddapura,3 BHK,,1800,3,3,43.33333333
Built-up  Area,Ready To Move, Devarabeesana Halli,3 BHK,Sorisa ,1750,3,3,99.33333333
Super built-up  Area,Ready To Move,Motappa Layout,3 BHK,Puodse ,1360,2,1,43.33333333
Plot  Area,Ready To Move,Barkal,3 Bedroom,,675,2,0,98.66666667
Super built-up  Area,19-Jun,Byrasandra,2 BHK,Sancy R,985,2,1,42
Super built-up  Area,16-Jul,Victoria Layout,2 BHK,,1300,2,1,86
Super built-up  Area,Ready To Move,Ashuganj,3 BHK,Brngsal,1850,3,2,100
Super built-up  Area,Ready To Move,Rustam Bagh Layout,3 BHK,Srowsee,1490,2,3,58.66666667
Super built-up  Area,Ready To Move,Byagadadhenahalli,2 BHK,VBavaai,620,1,1,16.66666667
Super built-up  Area,19-Aug,Bakshiganj,2 BHK,,1130,2,1,28.2
Super built-up  Area,Ready To Move,Gajaria,2 BHK,BaiseBa,1080,2,2,36.66666667
Built-up  Area,Ready To Move,Derai,4 BHK,,3126,4,,80
Super built-up  Area,Ready To Move,Baghaichari,3 BHK,Dhalsh ,1410,2,3,34.78
Super built-up  Area,Ready To Move,Chitalmari,3 BHK,,1375,3,2,39.33333333
Super built-up  Area,Ready To Move,Ashasuni,3 BHK,Maity W,1290,2,1,63
Super built-up  Area,19-Mar,Banaripara,3 BHK,Skume R,1318,2,1,56.85333333
Super built-up  Area,Ready To Move,Aditmari,2 BHK,Prarkun,1128,2,1,45.33333333
Plot  Area,Ready To Move,Meenakunte,4 Bedroom,Sreat R,4428,4,2,170
Super built-up  Area,21-Mar,Agailjhara,2 BHK,GolusLi,1051,2,2,37.82666667
Plot  Area,Ready To Move,Balaganj,3 Bedroom,,3500,5,0,183.3333333
Plot  Area,Ready To Move,Gobindaganj,4 Bedroom,MIalerd,2400,4,1,86.66666667
Super built-up  Area,Ready To Move,Laxmichhari,2 BHK,PuziaVe,1327,2,3,56.66666667
Super built-up  Area,Ready To Move,Barhatta,4 BHK,Prtanha,2912,6,2,140
Super built-up  Area,Ready To Move,Basapura,2 BHK,Jaangm ,1301,2,2,36.66666667
Super built-up  Area,Ready To Move,Thippasandra,1 BHK,,650,1,0,20
Plot  Area,18-Jul,Baniachong,3 Bedroom,,1200,3,1,45.16666667
Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,,1500,2,2,59.99333333
Plot  Area,Ready To Move,Kumara Park,4 Bedroom,,2700,6,,450
Plot  Area,Ready To Move,Nagadevanahalli,4 Bedroom,,1350,4,2,96.66666667
Built-up  Area,18-Aug,Atrai,2 BHK,Sryalan,1000,2,1,19.25333333
Super built-up  Area,19-Nov,Adarsha Sadar,2 BHK,AsastDe,984,2,1,30.60666667
Super built-up  Area,22-May,Bandarban Sadar,3 BHK,SoineC ,1819.18,3,1,106.6666667
Built-up  Area,Ready To Move,Baralekha,1 Bedroom,,900,1,0,116.6666667
Super built-up  Area,18-Apr,Alikadam,3 BHK,Magiaya,1355,3,1,55.91333333
Super built-up  Area,Ready To Move,Kabirhat,3 BHK,Sowerew,2145,4,1,180
Super built-up  Area,Ready To Move,Barkal,3 BHK,Sariaat,2475,4,3,200
Super built-up  Area,18-Aug,Baraigram,2 BHK,,1118,2,0,20
Super built-up  Area,Ready To Move,Roopena Agrahara,1 BHK,,910,1,1,28
Super built-up  Area,18-May,Madiwala,3 BHK,,1250,3,2,26
Super built-up  Area,18-Mar,Chatmohar,2 BHK,SoageHe,1304,2,3,66.66666667
Super built-up  Area,Ready To Move,Baghaichari,3 BHK,Dhalsh ,1615,3,2,38.66666667
Super built-up  Area,Ready To Move,Adarsha Sadar,2 BHK,Contsci,1400,2,2,45.33333333
Super built-up  Area,Ready To Move,Birganj,2 BHK,Villeka,1070,2,2,31.66666667
Super built-up  Area,17-Nov,Alikadam,3 BHK,Emceske,3500,3,3,263.3333333
Super built-up  Area,22-Jun,Bagerhat Sadar,2 BHK,GoAirej,1132,2,1,59.58
Super built-up  Area,Ready To Move,Rajarajeshwari Nagara,3 BHK,,2000,3,2,56.66666667
Plot  Area,Ready To Move,Alikadam,7 Bedroom,,2400,5,1,366.6666667
Super built-up  Area,Ready To Move,Hakimpur,1 BHK,DShtsow,794,1,2,43.33333333
Super built-up  Area,Ready To Move,Anwara,2 BHK,Lancyey,1090,2,2,29.06
Super built-up  Area,Ready To Move,Bhangura,3 BHK,Pridei ,1500,3,2,46.66666667
Super built-up  Area,Ready To Move,Doarabazar,3 BHK,Prhtsok,2059,3,2,150
Super built-up  Area,21-Jan,Agailjhara,1 BHK,PrarePa,525,1,1,20
Super built-up  Area,18-May,Bhanga,2 BHK,Rosha I,1447,2,1,50.64666667
Super built-up  Area,20-Dec,Abhaynagar,2 BHK,VaarkMe,1269,2,1,50
Plot  Area,18-Apr,Kr Layout,4 Bedroom,,4800,4,0,466.6666667
Super built-up  Area,Ready To Move,Agailjhara,2 BHK,Shiew T,1070,2,2,24.96666667
Super built-up  Area,Ready To Move,Burichang,2 BHK,,1150,2,0,18.66666667
Super built-up  Area,Ready To Move,Amtali,2 BHK,,1208,2,2,46.66666667
Super built-up  Area,Ready To Move,Baliakandi,2 BHK,Cimeshw,1185,2,1,30.33333333
Plot  Area,Ready To Move,Kashiani,3 Bedroom,,1200,3,1,86.66666667
Super built-up  Area,Ready To Move,Chirirbandar,2 BHK,,888,2,1,22.66666667
Super built-up  Area,18-Aug,Austagram,2 BHK,SunceEs,1015,2,2,17.25333333
Built-up  Area,Ready To Move,Celebrity Paradise Layout,1 BHK,,532,1,1,14.99333333
Super built-up  Area,Ready To Move,St Thomas Town,3 BHK,,1060,3,1,41.33333333
Built-up  Area,Ready To Move,Aditmari,1 BHK,,700,1,1,23.33333333
Super built-up  Area,Ready To Move,Ckikkakammana Halli,2 BHK,Radhian,902,2,2,28
Plot  Area,Ready To Move,Banashankari 2Nd Stage,6 Bedroom,,600,3,3,63.33333333
Super built-up  Area,Ready To Move,Alfadanga,2 BHK,,1175,2,1,31.33333333
Super built-up  Area,19-Dec,Gabtali,2 BHK,She 2rk,1365,2,1,81.33333333
Super built-up  Area,Ready To Move,Dacope,2 BHK,Hincy R,984,2,1,34
Plot  Area,Ready To Move,Alikadam,4 Bedroom,,2700,2,2,66.66666667
Super built-up  Area,Ready To Move,Jibannagar,3 BHK,,1475,3,2,64
Super built-up  Area,Ready To Move,Atpara,2 BHK,NDionas,1300,2,2,52.66666667
Plot  Area,Ready To Move,Kasba,5 Bedroom,,1200,6,1,146.6666667
Built-up  Area,Ready To Move,Dighinala,3 BHK,,1453,2,2,29.06
Super built-up  Area,Ready To Move,Munivenkatppa Layout,2 BHK,SNiew L,1550,2,3,106.6666667
Built-up  Area,Ready To Move,Barguna Sadar,3 BHK,DLhtsnd,1666,3,,63.33333333
Plot  Area,Ready To Move,Barguna Sadar,4 Bedroom,,1410,4,2,106.6666667
Plot  Area,18-Mar,Laxmichhari,4 Bedroom,Nileyap,4025,5,3,533.3333333
Super built-up  Area,Ready To Move,Joypurhat Sadar,3 BHK,Vestas ,1845,3,3,60.66666667
Super built-up  Area,Ready To Move,Haimchar,3 BHK,Puownm ,1676,3,3,34.66666667
Super built-up  Area,20-Dec,Alfadanga,2 BHK,PrdgeLa,1137,2,1,42
Super built-up  Area,Ready To Move,Aditmari,3 BHK,GMown E,1360,2,1,47
Super built-up  Area,Ready To Move,Vijaya Bank Layout,3 BHK,FoGemna,1374,2,2,46.66666667
Built-up  Area,Ready To Move,Ishwargonj,3 Bedroom,,1700,3,2,103.3333333
Plot  Area,Ready To Move,Abhaynagar,5 Bedroom,,3227,5,0,166.6666667
Super built-up  Area,Ready To Move,Ferrar Nagar,4 BHK,Cestama,2145,4,,83.33333333
Plot  Area,Ready To Move,Bamna,4 Bedroom,,2400,6,3,400
Super built-up  Area,18-May,Bahubal,3 BHK,,2170,3,2,100.6666667
Built-up  Area,Ready To Move,Bank Of Baroda Colony,2 BHK,,1080,2,1,36.66666667
Built-up  Area,Ready To Move,Atrai,3 BHK,SNbay G,1790,3,3,66.66666667
Super built-up  Area,Ready To Move,Dacope,1 BHK,,550,1,1,11.33333333
Super built-up  Area,Ready To Move,Gangachara,3 BHK,,1270,2,2,33.86
Built-up  Area,Ready To Move,Daulatpur,2 BHK,Ahhtser,1033,2,2,32
Built-up  Area,Ready To Move,Kamala Nagar,2 Bedroom,,1000,2,1,53.33333333
Super built-up  Area,19-Dec,Gabtali,4 BHK,She 2rk,2940,6,2,186.6666667
Super built-up  Area,Ready To Move,Kumarapalli,2 BHK,BMmesHo,1240,2,2,35.06666667
Plot  Area,Ready To Move,Haluaghat,5 Bedroom,,1650,5,1,300
Super built-up  Area,Ready To Move,Domar,2 BHK,Prrtht ,883,2,1,26
Built-up  Area,15-Jun,Outer Ring Road East,3 BHK,SRzonhu,1500,2,0,64.66666667
Super built-up  Area,Ready To Move,Amtali,3 BHK,Asintas,1730,3,3,92.66666667
Super built-up  Area,Ready To Move,Bahubal,3 BHK,,1915,3,3,53.33333333
Super built-up  Area,Ready To Move,Abhaynagar,3 BHK,BainePr,1545,3,2,52.66666667
Super built-up  Area,19-Mar,Marenahalli,3 BHK,,1865,4,2,93.33333333
Super built-up  Area,Ready To Move,Chouddagram,2 BHK,,1150,2,2,26.66666667
Super built-up  Area,18-Aug,Hal 3Rd Stage,2 BHK,,1200,2,2,32.66666667
Built-up  Area,Ready To Move,Balaganj,2 BHK,,963,2,2,26.66666667
Plot  Area,Ready To Move,Kushtia Sadar,3 Bedroom,AreraRe,1200,3,1,80
Super built-up  Area,Ready To Move,Companiganj,4 BHK,,2600,4,3,173.3333333
Built-up  Area,Ready To Move,Guimara,4 BHK,Srsica ,1700,4,,72
Super built-up  Area,Ready To Move,Fakirhat,3 BHK,Soiewre,1682,3,1,80
Built-up  Area,Ready To Move,Laxmichhari,3 BHK,Rarthne,1371,2,2,43.33333333
Super built-up  Area,21-Mar,Ashasuni,2 BHK,,901,2,1,33
Plot  Area,Ready To Move,Keraniganj,7 Bedroom,,600,7,0,48.66666667
Super built-up  Area,Ready To Move,Dhamoirhat,3 BHK,SJarkte,1730,3,1,80
Plot  Area,Ready To Move,Kanaighat,4 Bedroom,,1200,4,0,83.33333333
Super built-up  Area,Ready To Move,Faridganj,3 BHK,SJlynro,1500,3,3,68
Super built-up  Area,Ready To Move,Adarsha Sadar,4 BHK,Maana E,3785,6,,186.6666667
Built-up  Area,Ready To Move,Nagawara Junction,4 BHK,,3500,4,2,163.3333333
Carpet  Area,Ready To Move,Lingarajapuram,2 BHK,Glnetch,1203,2,1,39.90666667
Super built-up  Area,Ready To Move,Debiganj,2 BHK,,1357,2,2,36
Super built-up  Area,Ready To Move,Vasantha Vallabha Nagar,3 BHK,Suensda,1600,3,2,50.66666667
Built-up  Area,Ready To Move,Brahmanpara,1 BHK,KHatsFl,350,1,1,9
Super built-up  Area,Ready To Move,Baniachong,3 BHK,MKllei ,1665,3,1,35.33333333
Plot  Area,Ready To Move,Baliakandi,3 Bedroom,,1400,3,3,133.3333333
Super built-up  Area,Ready To Move,Adarsha Sadar,1 BHK,,835,1,1,31.3
Plot  Area,Ready To Move,Chandra Layout,2 Bedroom,,815,3,2,106.6666667
